1,1,1,1 0.044444444 2 0.022222222 3 0.111111111
2,1,4,4 0.088888889 5 0.133333333 6 0.088888889
3,3,3,7 0.133333333 5 0.133333333 3 0.111111111
4,4,1,8 0.088888889 7 0.133333333 9 0.088888889
5,5,4,10 0.066666667 11 0.088888889 5 0.133333333
6,6,4,9 0.088888889 1 0.044444444 3 0.111111111
7,7,1,4 0.088888889 8 0.088888889 7 0.133333333
8,2,6,5 0.133333333 3 0.111111111 11 0.088888889
9,4,7,7 0.133333333 11 0.088888889 6 0.088888889
10,6,8,10 0.066666667 4 0.088888889 9 0.088888889
11,4,6,11 0.088888889 6 0.088888889 7 0.133333333
12,5,5,3 0.111111111 8 0.088888889 6 0.088888889
13,7,7,8 0.088888889 5 0.133333333 10 0.066666667
14,7,6,9 0.088888889 12 0.044444444 4 0.088888889
15,1,8,5 0.133333333 7 0.133333333 12 0.044444444
