1,47.5281,-122.198,1 0.05809 2 0.00077 3 0.00115 4 0.00077 5 0.00153 6 0.00038 7 0.00019 8 0.00115 9 0.00096 10 0.00019 11 0.00077 12 0.00058 13 0.0163 14 0.00058 15 0.00115
2,40.2015,-74.8065,1 0.00748 2 0.00019 3 0.00019 5 0.00115 11 0.00038 13 0.00594 15 0.00077 16 0.00058 21 0.00058 24 0.00115 26 0.00019 32 0.00096 34 0.00058 36 0.00096 37 0.0023
3,40.6686,-73.9816,1 0.00575 5 0.00058 8 0.00019 13 0.0115 14 0.00019 15 0.00058 16 0.00019 21 0.00173 24 0.00038 28 0.00019 34 0.00019 36 0.00019 37 0.00058 40 0.00019 43 0.00019
4,40.817,-73.9475,1 0.0161 2 0.00077 3 0.00058 4 0.00019 5 0.00038 7 0.00019 11 0.00058 13 0.01169 14 0.00019 15 0.00115 16 0.00326 21 0.0023 24 0.00173 25 0.00019 26 0.00077
5,41.9026,-87.6647,1 0.01956 2 0.00134 4 0.00058 5 0.00153 6 0.00058 8 0.00019 13 0.01764 15 0.00019 16 0.00019 20 0.00019 23 0.00019 24 0.00249 26 0.00173 28 0.00038 30 0.00038
6,38.1642,-84.877,1 0.00211 2 0.00019 4 0.00058 5 0.00019 8 0.00019 13 0.00307 14 0.00019 15 0.00058 21 0.00153 24 0.00192 26 0.00019 28 0.00038 32 0.00058 34 0.00019 36 0.00077
7,43.8066,-79.225,1 0.00364 3 0.00019 4 0.00019 5 0.00019 11 0.00019 13 0.00594 15 0.00038 16 0.00096 21 0.00038 24 0.00077 28 0.00038 32 0.00058 34 0.00019 37 0.00153 39 0.00038
8,37.5308,-77.4756,1 0.01169 2 0.00038 4 0.00077 5 0.00038 8 0.00019 12 0.00038 13 0.00422 15 0.00058 16 0.00115 21 0.00058 23 0.00019 24 0.00077 26 0.00038 27 0.00019 28 0.00019
9,41.5118,-95.8933,1 0.01208 2 0.00038 3 0.00019 5 0.00077 8 0.00019 12 0.00019 13 0.01093 15 0.00077 16 0.00058 18 0.00038 20 0.00038 21 0.00115 22 0.00019 24 0.00153 26 0.00019
10,40.8096,-73.9499,1 0.00498 4 0.00019 8 0.00019 12 0.00019 13 0.00211 14 0.00019 15 0.00038 16 0.00038 21 0.00019 23 0.00019 24 0.00038 26 0.00019 32 0.00019 35 0.00019 37 0.00096
11,34.224,-118.6,1 0.0184 2 0.00058 5 0.00115 7 0.00038 8 0.00019 11 0.00019 12 0.00019 13 0.00326 14 0.00038 15 0.00096 16 0.00134 18 0.00058 20 0.00077 21 0.00173 24 0.00134
12,30.3875,-91.1097,1 0.04199 2 0.00153 3 0.00019 4 0.00096 5 0.0023 6 0.00019 7 0.00096 8 0.00058 11 0.00038 12 0.00019 13 0.03834 14 0.00077 15 0.00383 16 0.00268 18 0.00019
13,41.2204,-85.8619,1 0.02147 2 0.00038 3 0.00019 4 0.00038 5 0.00038 8 0.00058 11 0.00038 12 0.00038 13 0.01016 15 0.00058 16 0.00038 18 0.00019 20 0.00173 21 0.00038 22 0.00019
14,33.5842,-84.283,1 0.01515 2 0.00038 3 0.00019 4 0.00019 5 0.00077 7 0.00019 8 0.00019 12 0.00038 13 0.00307 14 0.00019 15 0.00019 16 0.00192 21 0.00058 24 0.00211 26 0.00058
15,39.6693,-79.85,1 0.01361 2 0.00058 3 0.00096 5 0.00115 7 0.00019 8 0.00019 9 0.00058 11 0.00038 12 0.00019 13 0.00383 15 0.00038 16 0.00115 19 0.00019 21 0.00288 24 0.00096
16,36.3365,-86.4354,1 0.01419 2 0.00038 3 0.00038 4 0.00038 5 0.00077 8 0.00019 13 0.00613 14 0.00038 15 0.00077 16 0.00134 21 0.00077 23 0.00019 24 0.00077 26 0.00038 30 0.00019
17,26.151,-80.1209,1 0.01112 2 0.00019 4 0.00058 5 0.00058 6 0.00038 7 0.00019 8 0.00019 12 0.00019 13 0.0069 15 0.00077 16 0.00038 18 0.00019 21 0.00153 22 0.00019 23 0.00038
18,33.9162,-117.322,1 0.01495 2 0.00019 3 0.00058 4 0.00019 5 0.00211 7 0.00019 8 0.00038 9 0.00038 10 0.00019 11 0.00038 12 0.00019 13 0.00805 14 0.00019 15 0.00038 16 0.00173
19,38.9117,-77.0102,1 0.00383 2 0.00019 3 0.00077 4 0.00019 5 0.00038 11 0.00019 12 0.00019 13 0.00364 15 0.00058 16 0.00058 21 0.00364 24 0.00211 26 0.00038 32 0.00038 34 0.00019
20,40.633,-73.9324,1 0.0069 5 0.00077 7 0.00019 8 0.00058 13 0.00403 16 0.00058 21 0.00192 24 0.00077 26 0.00019 27 0.00019 32 0.00096 34 0.00038 36 0.00038 37 0.00115 39 0.00019
21,29.6951,-95.6393,1 0.01169 2 0.00019 3 0.00058 4 0.00019 5 0.00077 8 0.00019 11 0.00096 13 0.00863 14 0.00019 15 0.00192 16 0.00173 21 0.00288 23 0.00096 24 0.00326 26 0.00096
22,32.3048,-90.2288,1 0.0161 4 0.00058 5 0.00077 13 0.0069 14 0.00019 15 0.00077 16 0.00115 21 0.00134 24 0.00268 26 0.00038 27 0.00019 32 0.00096 34 0.00058 37 0.00249 39 0.00038
23,33.1646,-87.5745,1 0.03259 3 0.00019 4 0.00019 5 0.00268 7 0.00038 8 0.00038 11 0.00019 13 0.01687 14 0.00038 15 0.00019 16 0.00134 21 0.00096 23 0.00019 24 0.00307 26 0.00153
24,29.7315,-95.6433,1 0.01994 2 0.00038 4 0.00058 5 0.00115 6 0.00038 7 0.00019 8 0.00038 13 0.01227 15 0.00115 16 0.00192 20 0.00211 21 0.00441 22 0.00019 23 0.00019 24 0.00345
25,26.2394,-80.1612,1 0.02262 2 0.00058 3 0.00058 4 0.00038 5 0.00249 6 0.00019 7 0.00019 11 0.00038 13 0.01035 14 0.00019 15 0.00096 16 0.00134 18 0.00134 21 0.0023 22 0.00019
26,39.9767,-75.2725,1 0.00613 2 0.00019 3 0.00058 4 0.00019 5 0.00058 10 0.00019 11 0.00038 13 0.00671 14 0.00019 15 0.00058 16 0.00115 24 0.00096 26 0.00077 32 0.00096 34 0.00038
27,40.644,-74.0129,1 0.00211 3 0.00077 4 0.00058 5 0.00096 11 0.00019 13 0.00268 15 0.00115 16 0.00115 21 0.00153 26 0.00019 28 0.00019 29 0.00019 32 0.00077 34 0.00038 36 0.00038
28,25.6071,-80.3552,1 0.00364 2 0.00038 5 0.00096 8 0.00058 13 0.00288 14 0.00019 16 0.00038 20 0.00038 24 0.00096 32 0.00077 34 0.00019 36 0.00058 37 0.00096 39 0.00038 58 0.00192
29,40.7235,-73.991,1 0.01093 5 0.00096 7 0.00038 11 0.00077 13 0.00997 14 0.00019 15 0.00096 16 0.00077 19 0.00019 24 0.00077 26 0.00038 28 0.00019 32 0.00096 34 0.00058 35 0.00019
30,34.8775,-120.42,1 0.00901 2 0.00019 3 0.00019 5 0.00077 6 0.00019 13 0.00326 15 0.00019 16 0.00038 20 0.00058 21 0.00038 24 0.00058 32 0.00115 36 0.00038 37 0.00058 43 0.00019
31,41.4631,-81.5447,1 0.01687 2 0.00058 3 0.00019 4 0.00019 5 0.00058 7 0.00038 9 0.00019 11 0.00019 13 0.00748 15 0.00019 16 0.0023 21 0.00115 24 0.00173 26 0.00019 28 0.00019
